Race Name,Race Location,Race Date,Race Format,Race Start Time,Air Temperature,Relative Humidity,Air Pressure,Rainfall,Track Temperature,Wind Speed,Driver ID,Driver Name,Driver Number and Race Name,Driver Team,Position,Race Time,Race Point,Race Grid Position,Cluster
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,33,max_verstappen,33 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Red Bull Racing,0.9473684210526315,NaT,0.0,15.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,3,ricciardo,3 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Red Bull Racing,1.0,NaT,0.0,4.0,5
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,3,ricciardo,3 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Red Bull Racing,0.0,0 days 01:35:36.380000,25.0,6.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,77,bottas,77 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Mercedes,0.05263157894736842,0 days 00:00:08.894000,18.0,3.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,7,raikkonen,7 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Ferrari,0.10526315789473684,0 days 00:00:09.637000,15.0,2.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,44,hamilton,44 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Mercedes,0.15789473684210525,0 days 00:00:16.985000,12.0,4.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,33,max_verstappen,33 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Red Bull Racing,0.21052631578947367,0 days 00:00:20.436000,10.0,5.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,27,hulkenberg,27 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Renault,0.2631578947368421,0 days 00:00:21.052000,8.0,7.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,14,alonso,14 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,McLaren,0.3157894736842105,0 days 00:00:30.639000,6.0,13.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,5,vettel,5 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Ferrari,0.3684210526315789,0 days 00:00:35.286000,4.0,1.0,1
